POINT_X,POINT_Y,Z
482636.2362,2822134.615,38.9261017
482652.6481,2822134.615,38.9151001
482669.06,2822134.615,38.9029999
482685.4719,2822134.615,38.8894997
482701.8838,2822134.615,38.8745003
482718.2957,2822134.615,38.8578987
482734.7076,2822134.615,38.8391991
482751.1195,2822134.615,37.2617989
482767.5314,2822134.615,37.2431984
482783.9433,2822134.615,37.221199
482800.3553,2822134.615,37.1953011
482816.7672,2822134.615,36.4434013
482833.1791,2822134.615,36.4053001
482849.591,2822134.615,36.3646011
482866.0029,2822134.615,36.3219986
482882.4148,2822134.615,36.2779007
482898.8267,2822134.615,34.7597008
482915.2386,2822134.615,34.7092018
482931.6505,2822134.615,34.6561012
482948.0624,2822134.615,34.5980988
482964.4743,2822134.615,34.5382996
482980.8862,2822134.615,34.4785004
482997.2981,2822134.615,34.4345016
483013.71,2822134.615,32.0639992
483030.1219,2822134.615,32.0098
483046.5338,2822134.615,32.0168991
483062.9458,2822134.615,31.9750004
483079.3577,2822134.615,31.9344006
483095.7696,2822134.615,31.8952007
483112.1815,2822134.615,30.2215004
483128.5934,2822134.615,30.2026997
483145.0053,2822134.615,31.7581997
483161.4172,2822134.615,30.1730995
483177.8291,2822134.615,29.3796997
483194.241,2822134.615,29.3715
482504.9409,2822118.203,42.6249008
482521.3528,2822118.203,42.6397018
482537.7648,2822118.203,41.0696983
482554.1767,2822118.203,40.3596001
482570.5886,2822118.203,39.6635017
482587.0005,2822118.203,38.9533997
482603.4124,2822118.203,38.9449005
482619.8243,2822118.203,38.9356003
482636.2362,2822118.203,38.9253006
482652.6481,2822118.203,38.9138985
482669.06,2822118.203,38.9012985
482685.4719,2822118.203,38.8871002
482701.8838,2822118.203,38.8712006
482718.2957,2822118.203,38.8532982
482734.7076,2822118.203,38.8331985
482751.1195,2822118.203,38.8106995
482767.5314,2822118.203,37.2318001
482783.9433,2822118.203,37.2084999
482800.3553,2822118.203,37.1819
482816.7672,2822118.203,36.4301987
482833.1791,2822118.203,36.3919983
482849.591,2822118.203,36.3511009
482866.0029,2822118.203,36.3079987
482882.4148,2822118.203,36.2631989
482898.8267,2822118.203,34.7402992
482915.2386,2822118.203,34.6876984
482931.6505,2822118.203,34.6324997
482948.0624,2822118.203,34.574501
482964.4743,2822118.203,34.5145988
482980.8862,2822118.203,34.4542999
482997.2981,2822118.203,34.3941994
483013.71,2822118.203,32.7781982
483030.1219,2822118.203,31.9843006
483046.5338,2822118.203,31.9300003
483062.9458,2822118.203,31.9379005
483079.3577,2822118.203,31.8962994
483095.7696,2822118.203,31.8561001
483112.1815,2822118.203,30.1931
483128.5934,2822118.203,30.1732998
483145.0053,2822118.203,30.1548004
483161.4172,2822118.203,30.1329994
483177.8291,2822118.203,29.3358994
483194.241,2822118.203,29.3395004
483210.6529,2822118.203,27.7192001
482488.529,2822101.791,42.6148987
482504.9409,2822101.791,42.6300011
482521.3528,2822101.791,41.8140984
482537.7648,2822101.791,41.0695
482554.1767,2822101.791,39.6666985
482570.5886,2822101.791,39.6604996
482587.0005,2822101.791,38.9527016
482603.4124,2822101.791,38.9440994
482619.8243,2822101.791,38.9346008
482636.2362,2822101.791,38.924099
482652.6481,2822101.791,38.9123993
482669.06,2822101.791,38.8992996
482685.4719,2822101.791,38.8844986
482701.8838,2822101.791,38.8678017
482718.2957,2822101.791,38.8488007
482734.7076,2822101.791,38.8274002
482751.1195,2822101.791,38.8033981
482767.5314,2822101.791,38.7766991
482783.9433,2822101.791,37.1960983
482800.3553,2822101.791,37.1687012
