POINT_X,POINT_Y,Z
482636.2362,2822151.027,17.4687996
482652.6481,2822151.027,17.5688992
482669.06,2822151.027,17.6718998
482685.4719,2822151.027,17.7766991
482701.8838,2822151.027,17.8827
482718.2957,2822151.027,17.9885006
482734.7076,2822151.027,18.0785999
482751.1195,2822151.027,18.1660004
482767.5314,2822151.027,18.2528992
482783.9433,2822151.027,18.3386002
482800.3553,2822151.027,18.4221001
482816.7672,2822151.027,18.4995003
482833.1791,2822151.027,18.5757999
482849.591,2822151.027,18.5517998
482866.0029,2822151.027,18.6105995
482882.4148,2822151.027,18.6149998
482898.8267,2822151.027,18.6949997
483062.9458,2822151.027,19.3931007
483079.3577,2822151.027,19.4575005
483095.7696,2822151.027,19.5590992
483112.1815,2822151.027,19.6240997
483128.5934,2822151.027,19.6769009
483145.0053,2822151.027,19.7352009
483161.4172,2822151.027,19.7908001
483177.8291,2822151.027,19.8334999
483194.241,2822151.027,19.8775005
482504.9409,2822134.615,16.9918003
482521.3528,2822134.615,17.0121994
482537.7648,2822134.615,17.0426006
482554.1767,2822134.615,17.0919991
482570.5886,2822134.615,17.155899
482587.0005,2822134.615,17.2318993
482603.4124,2822134.615,17.3075008
482619.8243,2822134.615,17.3987999
482636.2362,2822134.615,17.4899998
482652.6481,2822134.615,17.5788994
482669.06,2822134.615,17.6837997
482685.4719,2822134.615,17.7905998
482701.8838,2822134.615,17.8980999
482718.2957,2822134.615,17.9990997
482734.7076,2822134.615,18.0963993
482751.1195,2822134.615,18.1884003
482767.5314,2822134.615,18.2780991
482783.9433,2822134.615,18.3659
482800.3553,2822134.615,18.4484997
482816.7672,2822134.615,18.5301991
482833.1791,2822134.615,18.6081009
482849.591,2822134.615,18.6814003
482866.0029,2822134.615,18.6410007
482882.4148,2822134.615,18.6504002
482898.8267,2822134.615,18.7325993
482915.2386,2822134.615,18.8124008
482931.6505,2822134.615,18.8859997
482948.0624,2822134.615,18.9587994
482964.4743,2822134.615,19.0314007
482980.8862,2822134.615,19.1116009
482997.2981,2822134.615,19.1849003
